organization_name,founded_year,hq_city,employee_count,ceo_name,stock_symbol
Linkbridge,1976,Trenton,71333,Shalne Schneidau,KFY
Centidel,1876,Jataí,39653,Benjie Clother,ADRE
Flipstorm,1838,Ushibuka,93718,Nancie Exton,CRZO
Quinu,1985,Rado,91854,Reggie Peron,CB
Youspan,1815,Temenggungan,88707,Teodor Chamberlen,OTTR
Tagpad,1954,Teculután,32407,Marieann Stainfield,SU
Kazu,2007,Delok,32649,Trista Cunney,HURN
Blognation,1930,Kuala Terengganu,21836,Malva Carlisle,TLI
Tambee,1817,Pryamitsyno,26275,Ramsey Choke,CMCT
Agivu,1867,Nganane,4862,Tomas Button,BSAC
JumpXS,1993,Ribeiro,24981,Janice Fellman,CASY
Thoughtbeat,1828,Sơn Tịnh,78668,Dicky Turfus,FARO
Rhynyx,1814,Thị Trấn Bắc Hà,21441,Nicolais MacSkeagan,RNR^C
Yoveo,1939,Casal Galego,56037,Jefferson McAtamney,USNA
Thoughtbeat,2012,Panyambungan,52242,Myra MacKill,GCBC
Gigaclub,1908,Río Guayabal de Yateras,63726,Lauraine Mergue,COH
Tagopia,1910,Zvenyhorodka,74452,Jessalyn Tarling,ISRG
Twitterlist,1959,Kalino,37373,Adey Abbe,MLVF
Oyondu,1892,Sapphaya,24645,Sarina Barton,TBPH
Ntag,2022,Tōkamachi,2936,Nanete Bedford,GSK
Blogtags,1899,Ares Tengah,69549,Cort Servante,PCI
Browsezoom,1925,Itaboraí,97883,Christiana Mergue,ACC
Skinder,1889,Rawa,2300,Whitney Faers,CINF
Realcube,1847,Nowe Brzesko,65543,Doria Farquarson,DMB
Muxo,1859,La Guadalupe,24838,Candace Windsor,MMS
Gabtype,1809,Kelasuri,39557,William Cudbird,NM^G
Leexo,1803,Xiaping,38889,Halli Edison,COVS
Gigabox,1836,Lapa do Lobo,58990,Arnoldo Leneve,NRT
Voomm,1873,Beibao,41240,Collie Karim,DLNG^A
Dynabox,1852,Zhaojia,57267,Wallie Thurlbeck,ALIM
Edgeify,1920,Amagbagan,4081,Tori Darragon,MSCA
Oba,1925,Sukamahi Satu,33555,Vernen Malthouse,TIL
Kazio,1975,Kariya,28657,Lindsey Bolles,REV
Thoughtbridge,1973,Dobra,78880,Ronnica Avann,AIB
Jamia,1827,Ludvika,35180,Cati Oldroyd,SOXX
Aimbu,1810,Huangtan,79312,Letty Verrillo,COHR
JumpXS,1817,Priiskovyy,65835,Denis Siberry,MIN
Wikivu,1800,Bal’shavik,44200,Harp Woodcock,DCUD
Jabbersphere,1872,Mrzezino,57232,Penny Eke,CSTE
Skiba,1915,Gunajaya,11851,Jolee Brookton,CART
Zoovu,1971,Panyuran,63852,West Frostdicke,MTRN
Shufflebeat,1857,San Marcelino,82353,Gradey Welfair,FNY
Meeveo,1895,Grytviken,77997,Rudie Gullberg,VALE.P
Realblab,1974,Katwijk,9252,Bone Iremonger,AMGN
Skinix,1864,Ranot,35079,Agnes Coughan,GOOG
Shufflester,1935,Połajewo,78260,Brody Springle,CERU
Agimba,1912,Boñgalon,4935,Bette-ann Billinge,AMAG
Linkbridge,1844,Ciorescu,187,Teodoro Dahlgren,CHT
Livepath,1992,Guilherand-Granges,91859,Dory Currin,NGHCN
Photolist,1965,Batumi,61311,Staci Malam,EAGLW
Tagcat,1824,Jejkowice,56692,Jessie Putson,SAEX
Livetube,1985,Huangxikou,52363,Dolores Geldard,UDBI
Jaxnation,1937,Žlutice,37423,Barnaby Di Domenico,GLOP
Flipstorm,1959,Emiliano Zapata,3360,Wynne Metheringham,SSD
Riffpedia,1891,Karadaglije,15554,Tyrone O'Gorman,MVC
Fadeo,1804,Kohlu,50721,Pru Elion,CLACW
Oloo,1958,Chengmen,6797,Fitzgerald Braban,GSL^B
Rhyloo,1814,Miyazu,54968,Forest Westwater,ACSF
Vipe,1982,Hudson Bay,69911,Flemming Priddis,ARDC
Quire,1973,Masḩah,45446,Alisha Sparsholt,GAB^D
Bluejam,1901,La Mesa,88611,Karoly Songust,FUND
Tagchat,2016,Sindangsari,65025,Rivi Lewson,CVE
Gevee,1962,Mehtar Lām,90299,Georgia Stoad,MQY
Edgeblab,2022,Nagornyy,1698,Sharla McCarrick,CXSE
Jabbertype,1861,Gongchang Zhen,74592,Rogerio Bradnam,PHX
Gigabox,1904,Bukama,4388,Calypso Monnelly,MCI
Divavu,1949,Sokolov,68518,Codi Romanet,CLDC
Oyoloo,1904,Söderhamn,69067,Kermit Hightown,JE^A
Meezzy,1973,Żarki,66368,Nanci Streak,TRGP
Kanoodle,1897,Yur’yev-Pol’skiy,97145,Nilson Casaroli,OLD
Skinder,1940,Xamba,12031,Sophi Littleton,CMRE^B
Devbug,1908,Frutal,20394,Linzy Schulkins,ADRD
Youspan,1866,Palangan,71191,Storm Meddemmen,VONG
Mydeo,1961,Melbourne,46328,Koressa Kennifick,ALSK
Buzzshare,1944,Sidirókastro,56804,Daphene MacCurlye,BPTH
Photobean,1874,San Mateo,31517,Earl Jackett,PM
Tazz,1972,Gorelovo,98870,Gussy Bannester,MSDIW
Kare,2010,Iwonicz-Zdrój,33665,Purcell Thomlinson,CERU
Eimbee,1841,Jiufang,68310,Cord Baldcock,WFT
Livepath,1859,Luleå,98106,Murielle Summerlie,RCL
Fatz,1866,Valladolid,69696,Noah Goneau,TTD
Skilith,1849,Palmerston North,44723,Teressa Stockdale,TWNK
Skinte,1995,Býšť,63999,Sam Mackneis,BCTF
Tanoodle,1882,Pazin,4488,Griffie Plet,PBIB
Skinix,1804,Vityazevo,91055,Matty Cockley,RAS^C
Eimbee,1922,Dongsheng,10108,Quentin Prestie,MOBL
Zoomcast,1850,Timurjaya,38342,Decca Balfe,CDE
Skidoo,1923,Borova,660,Olga Oddy,HZO
Trupe,1967,El Peñón,4072,Waldemar Farlow,ENT
Brightdog,1902,Huangjindong,65411,Twila Beernt,CPB
Lazzy,1827,Anding,95048,Shanon Kensy,DX^B
Oyondu,1901,Argungu,75503,Gannie Keets,GOVNI
Feedfish,1921,Tenja,53182,Allan Sibyllina,UEIC
Ozu,1819,Dungon,58909,Lavina Lubomirski,TPX
Avaveo,1843,Tríkala,15409,Hector Dowty,UNFI
Jaxworks,2014,Valle San Francisco,93865,Baldwin MacGinley,SCE^J
Wikizz,1909,Gourma Rharous,36428,Ruthanne Stainer,GS^C
Kwideo,1839,Wielka Nieszawka,78555,Raff Ianniello,ANH^C
Gabvine,2022,Ageoshimo,58610,Valina Lehrer,EAGL
Fivespan,1865,Ishkhoy-Yurt,29102,Zorana Leggatt,CAKE
Divanoodle,1824,Köping,43530,Mala Dany,CASH
Avamba,1891,Brušperk,9003,Gawain Shorie,KTOV
Gigazoom,1975,Takeo,83297,Jodi Kidson,GPI
Vipe,1865,Fufang,93189,Erny O'Crigan,PAACR
Yombu,1819,Miaoling,72021,Beatrisa Whittingham,FCE.A
Dynazzy,1837,Sabnie,92097,Peria Yeldham,BIT
Pixonyx,1974,Meishan,61494,Ollie Setterington,ARRS
Pixope,1917,Vodnjan,58632,Gregory Hallyburton,DYN
Vimbo,2008,Deauville,25983,Janifer Tenwick,EMR
Youspan,1976,Yoshikawa,21998,Clevey Scarborough,EE
Buzzdog,1856,Lidian,83571,Doris Hebditch,PNBK
Aibox,1836,Cikawunggading,44477,Johnath Rosevear,USB^A
Twiyo,1871,Bảo Lộc,41977,Blondie Stubley,WSTG
Quaxo,1914,Ngluwuk,82791,Nathanial Summerly,NS
Yacero,2005,Botou,22616,Blanch Grossman,MED
Thoughtbridge,1949,Dadong’ao,71681,Oralla Mainz,SDLP
Skyble,1985,Kuwait City,96697,Fayina Devigne,CHEF
Rhycero,1970,São Pedro,30650,Celisse Overall,NCR
Vimbo,1869,Kasingan,13627,Wilmer Gibbins,ASMB
Dynabox,1857,Tabālah,26002,Guglielmo Trousdell,DSX^B
Reallinks,1844,Vsevolozhsk,80013,Jessalyn Notman,FIZZ
Eimbee,2003,Khamyāb,9585,Elisabetta Luckhurst,WBS
Quatz,1878,Danilov,5955,Nate Gosneye,MSFG
Buzzdog,1916,Norrköping,44356,Ephrem Hatterslay,HUNTU
Shufflester,1980,San Jose,49055,Juline Petriello,IAE
Katz,1937,Lolak,61915,Sergei McSkin,CMG
Zoomdog,1937,Gondar,38054,Mandel Pruckner,NEE^H
Roombo,1833,Thị Trấn Thất Khê,37246,Carena Feaveryear,GJP
Wordify,1952,Kamuli,37848,Joelle Fancett,WHG
Agimba,1879,Tinampo,5642,Lorri Scouse,KIN
Thoughtsphere,1884,Vale de Vila,70312,Rockey Candy,CME
Trudoo,1948,Kokagax,93461,Patrica Glashby,ESND
Demimbu,1917,Caxito,81769,Teodorico Schurcke,BATRK
Feednation,1980,Selasari,92798,Charo Harriss,TWMC
Twitterworks,1861,Haoba,46659,Aluin Pietrzyk,BOKFL
Voomm,1902,Dananyu,88550,Ferrel O Sullivan,TEO
Skajo,1904,Citampian,92496,Lacee Baldetti,SBGL
Vidoo,1988,Ḩarf al Musaytirah,19110,Olimpia Garretts,CUBI^E
Blognation,1923,Ballisodare,12928,Aliza Dominguez,NBR
Yamia,1977,Lebak,77697,Imelda Tran,CPAA
Kanoodle,1951,Makiv,1003,Marybelle Turri,WVVIP
Ntags,1915,Telsen,22769,Rodolph Gavin,ORG
Thoughtstorm,1961,Chengtang,47677,Zandra Snawdon,CHEK
Dabjam,1940,Mabay,9379,Sherlock Larmuth,NTEC
Thoughtworks,2006,Krajan Pangkah Kulon,6000,Matt Croucher,AAAP
Devcast,1900,Sunjia Buzi,14268,Kaitlyn Sillis,DL
Twiyo,1894,Darnah,85050,Joyann Lancastle,GOODP
Dynava,1888,Coyaima,54843,Brynna Corbet,AERI
Quimm,1958,Murom,68190,Zondra Blunderfield,SRE
Izio,1954,Pajala,32708,Georgeanne McCraine,TWOU
Bluejam,1913,Huaqiao,18547,Cullie Rickardsson,WOW
Jabbersphere,1805,Pinsk,42996,Lynnea Dunton,BBH
Avamm,1984,Islamey,24640,Hayden Onslow,MESO
Voolith,1880,Jianping,92616,Ike Andrus,XON
Gigashots,1978,Tbilisskaya,87016,Anthony Compfort,OB
Babbleblab,1837,Kopstal,89344,Lauralee Pithie,CFCOW
Brainsphere,1910,Xinó Neró,78889,Eloisa Ropcke,AEHR
Voomm,1939,Shenji,72530,Saunderson McKeighen,GTN.A
Thoughtblab,1846,Donnycarney,38813,Anton Riddel,YHOO
Blogpad,1815,Cigembong,43019,Ashbey Castagnier,NAKD
Brightdog,2006,Mata-Utu,66257,Katleen Drinkale,NNA
Oyonder,1989,Buliwao,20547,Rosalyn Wragge,VNET
Twiyo,1825,Mafang,74443,Jon McCorrie,WSTG
Riffpedia,1850,Luofang,33676,Darnell Peel,UBP
BlogXS,1869,Kálymnos,74274,Isidora Allen,RBC
Trudoo,1939,Amucao,65899,Dean Scarffe,BANC^E
Jaxbean,1847,Quchomo,38728,Georgena Braley,RBCAA
Quaxo,2001,Kojagete,49680,Gage Schimpke,BITA
Meedoo,1894,Hörby,98635,Mellicent Maughan,PSCT
Gigashots,1895,Lijia,79838,Robinson Vasiljevic,SGRY
Jabbertype,1814,Jiaocha,51909,Noelle Cremen,PSTG
Oba,1838,Capiíbary,3749,Winona Ogbourne,AER
Kwimbee,2018,Timurjaya,44873,Fabe Cracie,VOD
Cogidoo,1865,Salavan,36028,Uriah Day,FSFR
Dabshots,1884,Sukamaju,37303,Katti Karpe,MHNC
Flipbug,1887,Gierłoż,38585,Melantha Cay,PFBI
Avavee,1906,Qigzhi,47486,Cornell Nesbit,AIMT
Yombu,1804,Fovissste,58882,Licha Simunek,FGBI
Youspan,1985,Panite,72876,Koressa Humberston,GRC
Pixonyx,1827,Mercaderes,76178,Moshe Hayhoe,MFC
Devpoint,1816,Villa Hayes,34888,Sheba Casaccio,STB
Yodo,2021,Bayantal,88082,Brett Cammell,PHK
Photobug,1845,Icononzo,95754,Gregor Spickett,JPM.WS
Zoomcast,2006,Xinjiezi,10315,Pepito Lensch,FLEX
Thoughtbridge,1895,Zaqatala,2275,Pernell Espinoy,KBWB
Edgeblab,1874,Sukodono,94793,Cazzie Bowmaker,GAINN
Jamia,2011,Okigwi,62928,Gaylene Sherel,RSO^A
Abatz,2014,Boronów,24945,Meagan McRobbie,CATB
Trunyx,2009,Bergen,96891,Dominga Griffen,AGYS
Blogtags,1832,Los Angeles,65024,Krystalle Stracey,NXRT
Yombu,1925,Sacramento,13772,Powell McKissack,ITEK
Jaxworks,1992,Kobrinskoye,76021,Wolfie Lackington,XPER
Flashpoint,1877,Spirit River,51217,Foster Gudde,HXL
Janyx,1890,Souto da Costa,55291,Antonio Penman,FOR
Blogspan,1838,Punta Hermosa,75864,Julieta Deboy,NVDQ
Rhycero,1875,Caen,20358,Yasmeen Wildt,LPTX
Voolith,1915,Op,18971,Aleda Iveagh,LILAK
Browsedrive,1997,Alarobia,10383,Geneva Decroix,DMTX
Tanoodle,1988,Alexandroúpoli,82843,Rancell Ambrogini,PMF
Jabberstorm,1918,Famatina,55752,Agathe Josefer,TORM          
Livetube,1942,Ad Dujayl,21144,Lacee Dansken,MOD
Camido,2009,Xiayang,54150,Virgil Hagwood,MOBL
Flashdog,1816,Pasarbaru,29658,Robin Tinkler,FUL
Snaptags,1834,Kanáli,92001,Sonnie Aldine,PLYA
Realbuzz,1965,Areguá,98282,Weidar Clemanceau,TLRD
Twiyo,1996,Cergy-Pontoise,65371,Sydney Kember,HZO
Linkbridge,1949,Huayuanli,5518,Crawford Brumfitt,CHI
Browsedrive,1883,Luka nad Jihlavou,34267,Murielle Falconbridge,MANT
Thoughtstorm,2015,Shanhou,27472,Davine McCleary,MIN
Jayo,1989,El Paso,61919,Goddart Skakunas,CPRT
Kaymbo,1846,Yirga ‘Alem,18180,Bella Lease,CUR
Rhyzio,1895,Siak Sri Indrapura,12081,Adena Marsy,AVAV
Twitterwire,1928,Thị Trấn Quảng Uyên,36334,Nonah Chanders,KRA
Pixoboo,2013,Oklahoma City,78433,Loutitia Fechnie,CZZ
Ooba,1856,Berat,57762,Sargent Doyley,EMN
Thoughtblab,1964,Tall Salḩab,61285,Lorry Surmon,DCTH
Thoughtstorm,1851,Gobang,70148,Simone Lassey,TCCB
Cogilith,1953,Semey,18112,Coriss Scrivenor,SUN
BlogXS,1869,Popasna,82982,Addie Innott,FAM
Bubblebox,1846,La Unión,58731,Adelaide Affleck,PINC
Feedspan,1893,Funza,74616,Fabio Benyan,PCTY
Livepath,1880,Orange Walk,45150,Hunfredo Berthod,PRH
Fivechat,1808,Ghayl Bā Wazīr,56321,Chrysler Sandaver,UTX
Topdrive,1816,Haugesund,79714,Carlyle Coorington,GIM
Skajo,1807,Xiashitai,70374,Lusa Cockton,BPOP
Zoozzy,1930,Al Miftāḩ,83719,Arlen Skeats,CFCO
Jaloo,1987,Creil,59267,Patric Waldron,BBRY
Meemm,1975,Laslovo,17042,Onfre Grigoriev,GCAP
Divanoodle,1920,Lengkongbarang,20330,Bobina Pattillo,NATR
Trilia,1841,La Tebaida,91227,Fern Schwartz,ASR
Oyondu,2010,Lian’an,17016,Kendricks Gaze,EUFN
Oyonder,1828,Banjar Dauhpura,38967,Gene Haughin,SMIT
Livetube,1894,Novyy Svit,18242,Katusha Dionsetti,QUAD
Voonte,1989,Longos,29006,Ortensia Hyder,AEK
Eidel,1932,Shinyanga,68006,Ferne Grebner,GALT
Browsezoom,1945,Kamo,78802,Adelle Rockcliff,CHW
Flashspan,1959,Cikajang,43722,Frasquito Guiducci,PYT
Centizu,1972,Växjö,32005,Lara Hellwig,FMBI
Browsebug,2010,Oslo,12624,Tallulah Martensen,ITEQ
Minyx,1956,Trzcinica,24972,Hurley Darrington,VTRB
Youfeed,1884,Sidi Bousber,44451,Earlie Clemente,HABT
Aibox,1848,Uthal,19413,Robinson Byrom,BGT
Fadeo,1853,Zgornje Pirniče,52492,Chaddie Avis,DTQ
Linkbridge,1965,Falköping,83855,Ilyse Korn,WM
Quinu,1951,Yampil’,83565,Esme Neath,NFLX
Quatz,1961,Szczawno-Zdrój,12114,Hammad Garahan,ADP
Viva,1888,Claremorris,6494,Gaspar Epelett,PBI^B
Fadeo,1981,Fëdorovskoye,89788,Aluin Kidgell,KMB
Skimia,2020,Beroroha,54585,Carissa Kike,MXE
Zoomzone,1850,Virojoki,93125,Jeffry Drynan,BORN
Trudoo,1932,Tucupido,25169,Aurie Mathers,OMCL
Tazzy,1818,Hamburg,24136,Robby Zimmer,BVN
Linklinks,1889,Jinguoping,42454,Isabella Patient,AEE
Twimm,1896,Tarakan,38922,Addie Taunton.,NEWM
Jetwire,1805,Ganta,95953,Leontyne Chown,AAV
Yodel,1881,Luofang,82367,Claudio Cordelette,HYXE
Digitube,1832,Xingdian,66216,Arden Dalli,NSC
Fivebridge,1923,Tangub,39515,Hyacinthie Kearns,TR
Flashpoint,1919,Río Gallegos,16350,Helen-elizabeth Rasmus,SBNY
Zava,1910,Mielec,93798,Alain Lowndsborough,ANH^B
Brightbean,1969,La Unión,15513,Vanya Scarf,PSCU
Roombo,1979,Semampir,65412,Welsh Pfiffer,GBAB
Fivechat,1906,Chuantang,70451,Cirilo Swanston,VIVO
Kazio,1974,Matam,81705,Car Durtnall,CMPR
Yoveo,2005,Czarków,94670,Sindee Neilands,CALA
Linkbuzz,1924,Kabaty,97119,Nissy Beatson,PAYX
Skiba,1815,Myhiya,58466,Darrin Etherington,GLUU
Meemm,1824,Houjie,12358,Idelle Hartington,BTT
Shuffletag,2005,Esuk Oron,96814,Tibold Willcott,SNCR
Tagcat,1930,Kass Wollof,30703,Angelia Sollett,HABT
Livepath,2021,Bengtsfors,39472,Gabriellia Haack,HOTRW
InnoZ,2016,Banatsko Karađorđevo,61067,Dana Ceyssen,NSM
Skinix,1861,Vrbovec,62817,Agnella Tales,PSTG
Mydo,1886,Guangfu,50445,Winonah Elks,ALDR
Leexo,1813,Anping,90598,Trista Souness,KMI
Miboo,1873,Gostyń,24243,Maryl Huton,POWL
Topicblab,2020,Zhalinghu,36197,Beryle Stephens,INDY
Voomm,1958,Buenaventura,60349,Margaretha Sawers,GGB
Vipe,1868,Zhoujia,90649,Mill Guppy,CMS^B
Vinder,1941,Gremyachinsk,74574,Lev Dickey,ARR^A
Katz,2004,Betulia,65731,Nerty Dobbinson,AVT
Miboo,2016,Sobontoro,96689,Leonidas Brogini,HGV
Skyvu,1943,Chinch'ŏn,54789,Mariya Dunnico,JTPY
Mita,1935,Peranap,26181,Adrien Litel,LINDW
Youspan,1975,Longmen,93417,Skylar Francois,SVU
Midel,1882,Taghazout,75531,Kain Scudders,CPLP
Photofeed,1867,Indianapolis,78297,Davin Baribal,PZRX
Eabox,1840,Ikaalinen,48901,Katalin Giffaut,EEFT
Feedfire,1891,Camlachie,5280,Dinnie Tombleson,FOR
Gabspot,1939,Jalal-Abad,80337,Mannie Andrioni,IVAC
Browsetype,1862,Sigetec,94034,Boothe Losano,MHK
Linkbuzz,1918,Mangero,83246,Etienne Davidovsky,BCE
Devcast,1825,Petropavlovsk,98364,Nikos Keepin,NYMTP
Tanoodle,2000,Sokol’skoye,23370,Reta Chadwick,MPV
Yakijo,1871,Rolante,60393,Vinnie Temperley,VRSN
Zoomzone,1821,Masaran,30993,Shaine Buxy,LN
Zoombeat,1934,Atins,69597,Kandy Leyban,CRAI
Teklist,1819,Lens,14234,Corrie Sheward,PXD
Jaxnation,1874,Maungatapere,43441,Wang Orpwood,CHUBK
Devcast,2020,Sierpc,97334,Filberte Slatten,OKTA
Gigaclub,1960,Bunisari,36147,Rena Hoppner,CLIR
Chatterpoint,1855,Skolkovo,78146,Tessa Marikhin,PBR
Flipbug,1851,Hanting,27023,Gunar Grinsted,DOOR
Edgeclub,1930,Nová Paka,69464,Fitzgerald Wolstencroft,MGRC
Chatterpoint,1916,Nuamuzi,14071,Bay Luard,FUN
Meetz,1808,Maromitsa,7150,Gilemette Rizzelli,WAFD
Youbridge,1894,Lanas,63607,Dita Camelli,AKS
Blogpad,2022,Gurung,87725,Julie Mor,AAL
Jabberstorm,1997,Pasadena,69890,Cullan Cristofaro,SWFT
Nlounge,1840,Villa Ángela,77086,Russell Powlesland,GD
Trilith,1969,Płock,92477,Arlene Babar,DUK
Linktype,1883,Žamberk,42945,Westbrook Cordingly,CYTK
Yodo,1955,Lyon,30892,Gilli Capnerhurst,LTEA
Linktype,1855,Una,3469,Franchot Henryson,MON
Roombo,1806,Jingyang,89085,Terza Yakubov,NRCIB
Feedmix,1818,Huangtang,88687,Terrill Roma,CMCT
Dablist,1936,Tarxien,88841,Flint Stansbie,BASI
Plambee,1813,Dzerzhinsk,72071,Sully Berget,ARCH
Flipstorm,1834,Kaburon,66028,Zia Cranidge,PCTY
Mynte,1802,Namyangju,22280,Leelah Petrashov,VRNS
Jabbersphere,1995,Haukipudas,6871,Zia O'Luney,SSNT
Plajo,1800,Babo-Pangulo,21425,Andra Robison,CDZI
Fivespan,1968,Buenavista,69812,Guillema Widger,TGI
Meemm,1993,Bakersfield,77928,Austin Humberstone,GWRE
Avamm,1892,Port Glaud,34768,Dory Brock,GOV
Tazz,1866,Sainte-Martine,9696,Barbi Cowland,DSX^B
Centizu,1944,Abbottābād,74182,Danny Beels,AMOV
Quire,1846,Wako,31678,Calypso Ferriere,EEX
Fanoodle,1860,Jaroměřice nad Rokytnou,54740,Iosep Scathard,MIC
Pixonyx,1877,Dazhipo,48397,Constantia Kynaston,PBSK
Oyoba,1946,Sumy,77260,Kristo Silcox,HRS
Viva,1818,General Emilio Aguinaldo,51259,Aurea Budd,AMNB
Skyba,1847,Rochefort,49778,Town Baggaley,BAC^A
Kare,1865,Tianmuhu,18412,Gabie Sarver,WY
Realmix,1971,Tuanfeng,39488,Harlie Duffill,MFT
Topiclounge,2019,Fiães,5148,Pet Incogna,CVV
Meevee,1804,Adani,48797,Gianni Ansteys,CLNS^I
